hashtag,video_count,avg_views,total_views,max_views
#ayamgoreng,2,11064308,22128617,12629601
#bumbumeresapsampaidalamtanpamarinasi,1,21281633,21281633,21281633
#sajikutepungbumbu,1,21281633,21281633,21281633
#lezatmeresapsampaidalam,1,21281633,21281633,21281633
#olahanayam,2,10358336,20716672,11271171
#sambelbawangsurabaya_satset,1,14501446,14501446,14501446
#ayambakarteflon,1,14501446,14501446,14501446
#sambelbawang,1,14501446,14501446,14501446
#resepmasakan,1,14501446,14501446,14501446
#ayambakarmudah,1,14501446,14501446,14501446
#ayambakar,1,14501446,14501446,14501446
#idemasakan,1,14501446,14501446,14501446
#ngeshortsbareng,1,14221276,14221276,14221276
#ayamgeprek,1,14221276,14221276,14221276
#friedchicken,1,12629601,12629601,12629601
#resep,1,12629601,12629601,12629601
#upinipin,1,12629601,12629601,12629601
#masak,1,12629601,12629601,12629601
#ayamdimasakbeginienakbanget,1,11271171,11271171,11271171
#tongsengayam,1,9690171,9690171,9690171
#tongsengdaging,1,9690171,9690171,9690171
#masakantiktok,1,9499016,9499016,9499016
#idemasaksimple,1,9499016,9499016,9499016
#idemasak,1,9499016,9499016,9499016
#akhirbulan,1,9499016,9499016,9499016
#akhirtahun,1,9499016,9499016,9499016
#fyp,1,9499016,9499016,9499016
#reseprumahan,1,9499016,9499016,9499016
#anakkost,1,9499016,9499016,9499016
#ayam,1,9445501,9445501,9445501
#ayamkecap,1,9445501,9445501,9445501
#resepsambaltomat,1,8677130,8677130,8677130
#resepdevinahermawan,1,8677130,8677130,8677130
#resepayamgoreng,1,8677130,8677130,8677130
#ayamricarica,1,8511587,8511587,8511587
#crcook,1,8511587,8511587,8511587
#ayamricakemangi,1,8511587,8511587,8511587
#resepayamkrispi,1,7105104,7105104,7105104
#resepkentuckyrenyahgurihenak,1,7105104,7105104,7105104
#idejualan,1,7105104,7105104,7105104
#ayamungkep,1,6825443,6825443,6825443
